States/UTs,Year,CrimeHead,Offenders (Driver/Pedestrian) Died_Male,Offenders (Driver/Pedestrian) Died_Female,Offenders (Driver/Pedestrian) Died_Transgender,Offenders (Driver/Pedestrian) Died_Total,Victims Died_Male,Victims Died_Female,Victims Died_Transgender,Victims Died_Total
Himachal Pradesh,2014,Two Wheeler - Others,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Other Motor Vehicles,58,1,0,59,80,3,0,83
Himachal Pradesh,2014,Sub Total (Motor Vehicles),431,23,0,454,778,159,0,937
Himachal Pradesh,2014,Bicycle,1,0,0,1,0,0,0,0
Himachal Pradesh,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Pedestrian,1,1,0,2,7,1,0,8
Himachal Pradesh,2014,Others,0,0,0,0,1,0,0,1
Himachal Pradesh,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,2,1,0,3,8,1,0,9
Himachal Pradesh,2014,Total,433,24,0,457,786,160,0,946
Jammu & Kashmir,2014,Truck/Lorry (Total),53,0,0,53,59,3,0,62
Jammu & Kashmir,2014,Truck/Lorry - Normal Goods Carriers,18,0,0,18,25,2,0,27
Jammu & Kashmir,2014,Truck/Lorry - Trailer/Container Carriers,4,0,0,4,3,0,0,3
Jammu & Kashmir,2014,Truck/Lorry - Tankers,5,0,0,5,6,0,0,6
Jammu & Kashmir,2014,Truck/Lorry - Others,26,0,0,26,25,1,0,26
Jammu & Kashmir,2014,Bus (Total),36,5,0,41,89,51,0,140
Jammu & Kashmir,2014,Bus - Government,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Bus - Private,36,5,0,41,89,51,0,140
Jammu & Kashmir,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),20,3,0,23,32,11,0,43
Jammu & Kashmir,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,11,2,0,13,31,8,0,39
Jammu & Kashmir,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,9,1,0,10,1,3,0,4
Jammu & Kashmir,2014,Car (4 & 5 Seater) (Total),40,4,0,44,41,17,0,58
Jammu & Kashmir,2014,Car (4 & 5 Seater) - Government,0,0,0,0,2,1,0,3
Jammu & Kashmir,2014,Car (4 & 5 Seater) - Private,39,4,0,43,38,16,0,54
Jammu & Kashmir,2014,Car (4 & 5 Seater) - Taxi,1,0,0,1,1,0,0,1
Jammu & Kashmir,2014,Jeep (Total),1,0,0,1,5,0,0,5
Jammu & Kashmir,2014,Jeep - Government,1,0,0,1,3,0,0,3
Jammu & Kashmir,2014,Jeep - Private,0,0,0,0,2,0,0,2
Jammu & Kashmir,2014,Tractor (Total),18,0,0,18,17,2,0,19
Jammu & Kashmir,2014,Three Wheeler/Auto rickshaw (Total),4,1,0,5,10,1,0,11
Jammu & Kashmir,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,3,1,0,4,7,1,0,8
Jammu & Kashmir,2014,Three Wheeler/Auto rickshaw - Goods Carriers,1,0,0,1,3,0,0,3
Jammu & Kashmir,2014,Two Wheeler (Total),82,10,0,92,106,37,0,143
Jammu & Kashmir,2014,Two Wheeler - Motor Cycle,64,4,0,68,60,16,0,76
Jammu & Kashmir,2014,Two Wheeler - Scooter,18,6,0,24,17,8,0,25
Jammu & Kashmir,2014,Two Wheeler - Others,0,0,0,0,29,13,0,42
Jammu & Kashmir,2014,Other Motor Vehicles,18,0,0,18,103,19,0,122
Jammu & Kashmir,2014,Sub Total (Motor Vehicles),272,23,0,295,462,141,0,603
Jammu & Kashmir,2014,Bicycle,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Pedestrian,7,3,0,10,26,8,0,34
Jammu & Kashmir,2014,Others,23,1,0,24,8,3,0,11
Jammu & Kashmir,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,30,4,0,34,34,11,0,45
Jammu & Kashmir,2014,Total,302,27,0,329,496,152,0,648
Jharkhand,2014,Truck/Lorry (Total),121,6,0,127,203,34,0,237
Jharkhand,2014,Truck/Lorry - Normal Goods Carriers,63,3,0,66,115,18,0,133
Jharkhand,2014,Truck/Lorry - Trailer/Container Carriers,8,2,0,10,33,5,0,38
Jharkhand,2014,Truck/Lorry - Tankers,6,1,0,7,6,2,0,8
Jharkhand,2014,Truck/Lorry - Others,44,0,0,44,49,9,0,58
Jharkhand,2014,Bus (Total),59,8,0,67,132,33,0,165
Jharkhand,2014,Bus - Government,1,0,0,1,0,0,0,0
Jharkhand,2014,Bus - Private,58,8,0,66,130,32,0,162
Jharkhand,2014,Bus - School Bus,0,0,0,0,2,1,0,3
Jharkhand,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),15,6,0,21,32,9,0,41
Jharkhand,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Jharkhand,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,14,6,0,20,25,6,0,31
Jharkhand,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,1,0,0,1,7,3,0,10
Jharkhand,2014,Car (4 & 5 Seater) (Total),34,8,0,42,43,24,0,67
Jharkhand,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Jharkhand,2014,Car (4 & 5 Seater) - Private,30,4,0,34,39,20,0,59
Jharkhand,2014,Car (4 & 5 Seater) - Taxi,4,4,0,8,4,4,0,8
Jharkhand,2014,Jeep (Total),40,0,0,40,21,2,0,23
Jharkhand,2014,Jeep - Government,1,0,0,1,0,0,0,0
Jharkhand,2014,Jeep - Private,39,0,0,39,21,2,0,23
Jharkhand,2014,Tractor (Total),25,0,0,25,26,9,0,35
Jharkhand,2014,Three Wheeler/Auto rickshaw (Total),40,3,0,43,69,25,0,94
Jharkhand,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,35,3,0,38,46,20,0,66
Jharkhand,2014,Three Wheeler/Auto rickshaw - Goods Carriers,5,0,0,5,23,5,0,28
Jharkhand,2014,Two Wheeler (Total),577,38,0,615,148,38,0,186
Jharkhand,2014,Two Wheeler - Motor Cycle,237,7,0,244,119,29,0,148
Jharkhand,2014,Two Wheeler - Scooter,9,3,0,12,8,8,0,16
Jharkhand,2014,Two Wheeler - Others,331,28,0,359,21,1,0,22
Jharkhand,2014,Other Motor Vehicles,28,9,0,37,62,31,0,93
Jharkhand,2014,Sub Total (Motor Vehicles),939,78,0,1017,736,205,0,941
Jharkhand,2014,Bicycle,6,0,0,6,10,0,0,10
Jharkhand,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),2,0,0,2,0,0,0,0
Jharkhand,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Jharkhand,2014,Pedestrian,5,3,0,8,0,0,0,0
Jharkhand,2014,Others,203,22,0,225,206,131,0,337
Jharkhand,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,216,25,0,241,216,131,0,347
Jharkhand,2014,Total,1155,103,0,1258,952,336,0,1288
Karnataka,2014,Truck/Lorry (Total),213,0,0,213,1015,169,0,1184
Karnataka,2014,Truck/Lorry - Normal Goods Carriers,87,0,0,87,490,78,0,568
Karnataka,2014,Truck/Lorry - Trailer/Container Carriers,11,0,0,11,32,5,0,37
Karnataka,2014,Truck/Lorry - Tankers,13,0,0,13,121,13,0,134
Karnataka,2014,Truck/Lorry - Others,102,0,0,102,372,73,0,445
Karnataka,2014,Bus (Total),69,0,0,69,680,133,0,813
Karnataka,2014,Bus - Government,33,0,0,33,284,64,0,348
Karnataka,2014,Bus - Private,35,0,0,35,381,66,0,447
Karnataka,2014,Bus - School Bus,1,0,0,1,15,3,0,18
Karnataka,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),28,0,0,28,111,20,0,131
Karnataka,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,8,1,0,9
Karnataka,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,24,0,0,24,80,13,0,93
Karnataka,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,4,0,0,4,23,6,0,29
Karnataka,2014,Car (4 & 5 Seater) (Total),201,0,0,201,965,231,0,1196
Karnataka,2014,Car (4 & 5 Seater) - Government,1,0,0,1,14,0,0,14
Karnataka,2014,Car (4 & 5 Seater) - Private,179,0,0,179,795,180,0,975
Karnataka,2014,Car (4 & 5 Seater) - Taxi,21,0,0,21,156,51,0,207
Karnataka,2014,Jeep (Total),52,0,0,52,287,70,0,357
Karnataka,2014,Jeep - Government,0,0,0,0,3,2,0,5
Karnataka,2014,Jeep - Private,52,0,0,52,284,68,0,352
Karnataka,2014,Tractor (Total),82,0,0,82,288,60,0,348
Karnataka,2014,Three Wheeler/Auto rickshaw (Total),64,0,0,64,344,112,0,456
Karnataka,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,48,0,0,48,219,77,0,296
Karnataka,2014,Three Wheeler/Auto rickshaw - Goods Carriers,16,0,0,16,125,35,0,160
Karnataka,2014,Two Wheeler (Total),1000,22,0,1022,2106,383,0,2489
Karnataka,2014,Two Wheeler - Motor Cycle,861,17,0,878,1745,284,0,2029
Karnataka,2014,Two Wheeler - Scooter,112,5,0,117,236,77,0,313
Karnataka,2014,Two Wheeler - Others,27,0,0,27,125,22,0,147
Karnataka,2014,Other Motor Vehicles,91,3,0,94,606,147,0,753
Karnataka,2014,Sub Total (Motor Vehicles),1800,25,0,1825,6402,1325,0,7727
Karnataka,2014,Bicycle,0,0,0,0,59,1,0,60
Karnataka,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Karnataka,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Karnataka,2014,Pedestrian,21,1,0,22,442,87,0,529
Karnataka,2014,Others,54,2,0,56,198,27,0,225
Karnataka,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,75,3,0,78,699,115,0,814
Karnataka,2014,Total,1875,28,0,1903,7101,1440,0,8541
Kerala,2014,Truck/Lorry (Total),54,8,0,62,205,32,0,237
Kerala,2014,Truck/Lorry - Normal Goods Carriers,15,4,0,19,128,16,0,144
Kerala,2014,Truck/Lorry - Trailer/Container Carriers,2,0,0,2,18,3,0,21
Kerala,2014,Truck/Lorry - Tankers,3,1,0,4,12,1,0,13
Kerala,2014,Truck/Lorry - Others,34,3,0,37,47,12,0,59
Kerala,2014,Bus (Total),39,13,0,52,240,69,0,309
Kerala,2014,Bus - Government,10,3,0,13,77,17,0,94
Kerala,2014,Bus - Private,28,10,0,38,156,49,0,205
Kerala,2014,Bus - School Bus,1,0,0,1,7,3,0,10
Kerala,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),7,2,0,9,45,15,0,60
Kerala,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Kerala,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,7,2,0,9,29,9,0,38
Kerala,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,0,0,0,16,6,0,22
Kerala,2014,Car (4 & 5 Seater) (Total),93,24,0,117,301,60,0,361
Kerala,2014,Car (4 & 5 Seater) - Government,0,0,0,0,2,0,0,2
Kerala,2014,Car (4 & 5 Seater) - Private,88,24,0,112,254,49,0,303
Kerala,2014,Car (4 & 5 Seater) - Taxi,5,0,0,5,45,11,0,56
Kerala,2014,Jeep (Total),9,1,0,10,44,22,0,66
Kerala,2014,Jeep - Government,0,0,0,0,0,3,0,3
Kerala,2014,Jeep - Private,9,1,0,10,44,19,0,63
Kerala,2014,Tractor (Total),1,0,0,1,0,0,0,0
Kerala,2014,Three Wheeler/Auto rickshaw (Total),43,6,0,49,154,44,0,198
Kerala,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,31,4,0,35,124,41,0,165
Kerala,2014,Three Wheeler/Auto rickshaw - Goods Carriers,12,2,0,14,30,3,0,33
Kerala,2014,Two Wheeler (Total),337,36,0,373,940,152,0,1092
Kerala,2014,Two Wheeler - Motor Cycle,285,16,0,301,787,112,0,899
Kerala,2014,Two Wheeler - Scooter,52,20,0,72,143,40,0,183
Kerala,2014,Two Wheeler - Others,0,0,0,0,10,0,0,10
Kerala,2014,Other Motor Vehicles,1,1,0,2,52,11,0,63
Kerala,2014,Sub Total (Motor Vehicles),584,91,0,675,1981,405,0,2386
Kerala,2014,Bicycle,23,0,0,23,54,0,0,54
Kerala,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Kerala,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Kerala,2014,Pedestrian,40,16,0,56,602,177,0,779
Kerala,2014,Others,7,0,0,7,13,7,0,20
Kerala,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,70,16,0,86,669,184,0,853
Kerala,2014,Total,654,107,0,761,2650,589,0,3239
Madhya Pradesh,2014,Truck/Lorry (Total),368,26,0,394,1307,194,0,1501
Madhya Pradesh,2014,Truck/Lorry - Normal Goods Carriers,184,10,0,194,817,110,0,927
Madhya Pradesh,2014,Truck/Lorry - Trailer/Container Carriers,50,2,0,52,84,5,0,89
Madhya Pradesh,2014,Truck/Lorry - Tankers,24,1,0,25,105,15,0,120
Madhya Pradesh,2014,Truck/Lorry - Others,110,13,0,123,301,64,0,365
Madhya Pradesh,2014,Bus (Total),156,21,0,177,408,109,0,517
Madhya Pradesh,2014,Bus - Government,0,0,0,0,1,0,0,1
Madhya Pradesh,2014,Bus - Private,155,19,0,174,389,104,0,493
Madhya Pradesh,2014,Bus - School Bus,1,2,0,3,18,5,0,23
Madhya Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),104,13,0,117,236,60,0,296
Madhya Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,1,0,0,1
Madhya Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,59,9,0,68,151,46,0,197
Madhya Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,45,4,0,49,84,14,0,98
Madhya Pradesh,2014,Car (4 & 5 Seater) (Total),189,22,0,211,499,96,0,595
Madhya Pradesh,2014,Car (4 & 5 Seater) - Government,1,0,0,1,2,0,0,2
Madhya Pradesh,2014,Car (4 & 5 Seater) - Private,174,20,0,194,445,85,0,530
Madhya Pradesh,2014,Car (4 & 5 Seater) - Taxi,14,2,0,16,52,11,0,63
Madhya Pradesh,2014,Jeep (Total),128,10,0,138,299,57,0,356
Madhya Pradesh,2014,Jeep - Government,9,0,0,9,7,0,0,7
Madhya Pradesh,2014,Jeep - Private,119,10,0,129,292,57,0,349
Madhya Pradesh,2014,Tractor (Total),138,9,0,147,437,88,0,525
Madhya Pradesh,2014,Three Wheeler/Auto rickshaw (Total),51,10,0,61,163,32,0,195
Madhya Pradesh,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,47,10,0,57,122,29,0,151
Madhya Pradesh,2014,Three Wheeler/Auto rickshaw - Goods Carriers,4,0,0,4,41,3,0,44
Madhya Pradesh,2014,Two Wheeler (Total),894,105,0,999,1448,219,0,1667
Madhya Pradesh,2014,Two Wheeler - Motor Cycle,795,97,0,892,1285,179,0,1464
Madhya Pradesh,2014,Two Wheeler - Scooter,66,7,0,73,63,8,0,71
Madhya Pradesh,2014,Two Wheeler - Others,33,1,0,34,100,32,0,132
Madhya Pradesh,2014,Other Motor Vehicles,113,33,0,146,425,66,0,491
Madhya Pradesh,2014,Sub Total (Motor Vehicles),2141,249,0,2390,5222,921,0,6143
Madhya Pradesh,2014,Bicycle,28,8,0,36,10,2,0,12
Madhya Pradesh,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,3,0,0,3
Madhya Pradesh,2014,Animal Drawn Vehicle,3,0,0,3,3,0,0,3
Madhya Pradesh,2014,Pedestrian,30,7,0,37,404,90,0,494
Madhya Pradesh,2014,Others,19,0,0,19,124,28,0,152
Madhya Pradesh,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,80,15,0,95,544,120,0,664
Madhya Pradesh,2014,Total,2221,264,0,2485,5766,1041,0,6807
Maharashtra,2014,Truck/Lorry (Total),458,6,0,464,1516,204,0,1720
Maharashtra,2014,Truck/Lorry - Normal Goods Carriers,213,1,0,214,874,104,0,978
Maharashtra,2014,Truck/Lorry - Trailer/Container Carriers,61,1,0,62,221,39,0,260
Maharashtra,2014,Truck/Lorry - Tankers,43,1,0,44,153,23,0,176
Maharashtra,2014,Truck/Lorry - Others,141,3,0,144,268,38,0,306
Maharashtra,2014,Bus (Total),57,6,0,63,467,106,0,573
Maharashtra,2014,Bus - Government,26,2,0,28,268,57,0,325
Maharashtra,2014,Bus - Private,30,2,0,32,184,44,0,228
Maharashtra,2014,Bus - School Bus,1,2,0,3,15,5,0,20
Maharashtra,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),33,2,0,35,109,34,0,143
Maharashtra,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,5,4,0,9
Maharashtra,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,28,1,0,29,69,18,0,87
Maharashtra,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,5,1,0,6,35,12,0,47
Maharashtra,2014,Car (4 & 5 Seater) (Total),293,13,0,306,949,195,0,1144
Maharashtra,2014,Car (4 & 5 Seater) - Government,3,0,0,3,3,0,0,3
Maharashtra,2014,Car (4 & 5 Seater) - Private,283,13,0,296,881,184,0,1065
Maharashtra,2014,Car (4 & 5 Seater) - Taxi,7,0,0,7,65,11,0,76
Maharashtra,2014,Jeep (Total),130,2,0,132,580,138,0,718
Maharashtra,2014,Jeep - Government,1,0,0,1,3,1,0,4
Maharashtra,2014,Jeep - Private,129,2,0,131,577,137,0,714
Maharashtra,2014,Tractor (Total),94,0,0,94,205,16,0,221
Maharashtra,2014,Three Wheeler/Auto rickshaw (Total),125,13,0,138,418,112,0,530
Maharashtra,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,104,12,0,116,380,92,0,472
Maharashtra,2014,Three Wheeler/Auto rickshaw - Goods Carriers,21,1,0,22,38,20,0,58
Maharashtra,2014,Two Wheeler (Total),1907,52,0,1959,2573,514,0,3087
Maharashtra,2014,Two Wheeler - Motor Cycle,1826,41,0,1867,2449,483,0,2932
Maharashtra,2014,Two Wheeler - Scooter,23,6,0,29,68,15,0,83
Maharashtra,2014,Two Wheeler - Others,58,5,0,63,56,16,0,72
Maharashtra,2014,Other Motor Vehicles,128,6,0,134,468,84,0,552
Maharashtra,2014,Sub Total (Motor Vehicles),3225,100,0,3325,7285,1403,0,8688
Maharashtra,2014,Bicycle,48,0,0,48,89,9,0,98
Maharashtra,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,3,0,0,3
Maharashtra,2014,Animal Drawn Vehicle,3,0,0,3,4,0,0,4
Maharashtra,2014,Pedestrian,74,16,0,90,873,205,2,1080
Maharashtra,2014,Others,27,3,0,30,142,18,0,160
Maharashtra,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,152,19,0,171,1111,232,2,1345
Maharashtra,2014,Total,3377,119,0,3496,8396,1635,2,10033
Manipur,2014,Truck/Lorry (Total),7,0,0,7,36,7,0,43
Manipur,2014,Truck/Lorry - Normal Goods Carriers,0,0,0,0,10,1,0,11
Manipur,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,0,0,0,0
Manipur,2014,Truck/Lorry - Tankers,0,0,0,0,1,0,0,1
Manipur,2014,Truck/Lorry - Others,7,0,0,7,25,6,0,31
Manipur,2014,Bus (Total),0,0,0,0,4,1,0,5
Manipur,2014,Bus - Government,0,0,0,0,0,0,0,0
Manipur,2014,Bus - Private,0,0,0,0,4,1,0,5
Manipur,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Manipur,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),1,0,0,1,12,1,0,13
Manipur,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,1,0,0,1
Manipur,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,0,0,0,0,2,0,0,2
Manipur,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,1,0,0,1,9,1,0,10
Manipur,2014,Car (4 & 5 Seater) (Total),2,0,0,2,22,4,0,26
Manipur,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Manipur,2014,Car (4 & 5 Seater) - Private,2,0,0,2,19,4,0,23
Manipur,2014,Car (4 & 5 Seater) - Taxi,0,0,0,0,3,0,0,3
Manipur,2014,Jeep (Total),0,0,0,0,2,0,0,2
Manipur,2014,Jeep - Government,0,0,0,0,0,0,0,0
Manipur,2014,Jeep - Private,0,0,0,0,2,0,0,2
Manipur,2014,Tractor (Total),1,0,0,1,0,0,0,0
Manipur,2014,Three Wheeler/Auto rickshaw (Total),0,0,0,0,3,1,0,4
Manipur,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,0,0,0,0,3,1,0,4
Manipur,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,0,0,0,0
Manipur,2014,Two Wheeler (Total),9,0,0,9,32,0,0,32
Manipur,2014,Two Wheeler - Motor Cycle,5,0,0,5,27,0,0,27
Manipur,2014,Two Wheeler - Scooter,3,0,0,3,4,0,0,4
Manipur,2014,Two Wheeler - Others,1,0,0,1,1,0,0,1
Manipur,2014,Other Motor Vehicles,3,1,0,4,6,1,0,7
Manipur,2014,Sub Total (Motor Vehicles),23,1,0,24,117,15,0,132
Manipur,2014,Bicycle,1,0,0,1,1,0,0,1
Manipur,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Manipur,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Manipur,2014,Pedestrian,0,0,0,0,8,1,0,9
Manipur,2014,Others,0,0,0,0,0,0,0,0
Manipur,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,1,0,0,1,9,1,0,10
Manipur,2014,Total,24,1,0,25,126,16,0,142
Meghalaya,2014,Truck/Lorry (Total),19,0,0,19,19,2,0,21
Meghalaya,2014,Truck/Lorry - Normal Goods Carriers,15,0,0,15,18,2,0,20
Meghalaya,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,0,0,0,0
Meghalaya,2014,Truck/Lorry - Tankers,0,0,0,0,0,0,0,0
Meghalaya,2014,Truck/Lorry - Others,4,0,0,4,1,0,0,1
Meghalaya,2014,Bus (Total),6,1,0,7,11,5,0,16
Meghalaya,2014,Bus - Government,1,0,0,1,0,0,0,0
Meghalaya,2014,Bus - Private,5,1,0,6,11,5,0,16
Meghalaya,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),3,1,0,4,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,1,0,0,1,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,1,0,0,1,0,0,0,0
Meghalaya,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,1,1,0,2,0,0,0,0
Meghalaya,2014,Car (4 & 5 Seater) (Total),19,1,0,20,10,4,0,14
Meghalaya,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Meghalaya,2014,Car (4 & 5 Seater) - Private,16,0,0,16,6,2,0,8
Meghalaya,2014,Car (4 & 5 Seater) - Taxi,3,1,0,4,4,2,0,6
Meghalaya,2014,Jeep (Total),0,1,0,1,0,0,0,0
Meghalaya,2014,Jeep - Government,0,0,0,0,0,0,0,0
Meghalaya,2014,Jeep - Private,0,1,0,1,0,0,0,0
Meghalaya,2014,Tractor (Total),0,0,0,0,0,0,0,0
Meghalaya,2014,Three Wheeler/Auto rickshaw (Total),1,1,0,2,13,1,0,14
Meghalaya,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,1,1,0,2,4,0,0,4
Meghalaya,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,9,1,0,10
Meghalaya,2014,Two Wheeler (Total),26,1,0,27,9,1,0,10
Meghalaya,2014,Two Wheeler - Motor Cycle,22,1,0,23,8,1,0,9
Meghalaya,2014,Two Wheeler - Scooter,2,0,0,2,1,0,0,1
Meghalaya,2014,Two Wheeler - Others,2,0,0,2,0,0,0,0
Meghalaya,2014,Other Motor Vehicles,3,0,0,3,3,0,0,3
Meghalaya,2014,Sub Total (Motor Vehicles),77,6,0,83,65,13,0,78
Meghalaya,2014,Bicycle,0,0,0,0,0,0,0,0
Meghalaya,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Meghalaya,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Meghalaya,2014,Pedestrian,0,0,0,0,5,5,0,10
Meghalaya,2014,Others,0,0,0,0,0,0,0,0
Meghalaya,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,0,0,0,0,5,5,0,10
Meghalaya,2014,Total,77,6,0,83,70,18,0,88
Mizoram,2014,Truck/Lorry (Total),8,0,0,8,19,5,0,24
Mizoram,2014,Truck/Lorry - Normal Goods Carriers,7,0,0,7,15,3,0,18
Mizoram,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,0,0,0,0
Mizoram,2014,Truck/Lorry - Tankers,0,0,0,0,0,0,0,0
Mizoram,2014,Truck/Lorry - Others,1,0,0,1,4,2,0,6
Mizoram,2014,Bus (Total),1,0,0,1,1,3,0,4
Mizoram,2014,Bus - Government,0,0,0,0,0,0,0,0
Mizoram,2014,Bus - Private,1,0,0,1,1,3,0,4
Mizoram,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),0,0,0,0,2,0,0,2
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,0,0,0,0,2,0,0,2
Mizoram,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,0,0,0,0,0,0,0
Mizoram,2014,Car (4 & 5 Seater) (Total),4,0,0,4,8,7,0,15
Mizoram,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,1,0,1
Mizoram,2014,Car (4 & 5 Seater) - Private,3,0,0,3,7,5,0,12
Mizoram,2014,Car (4 & 5 Seater) - Taxi,1,0,0,1,1,1,0,2
